detector,model,split,k,format,prompt_version,cells,flows,predictions,f1_mean,f1_sd,recall_novel_mean,recall_known_mean,error_rate,input_tokens_mean,output_tokens_mean,cost_usd_per_1m,latency_e2e_ms_mean,latency_provider_ms_mean,verdict_flip_rate,p_attack_sd_mean
jev,typesafe-ai/jev,mid,0,csv,v1,1,240,240,0.7454545454545455,,0.75,0.5833333333333334,0.0,1002.6625,77.23333333333333,42.111825,552.0548764086925,174.29166666666666,,
jev,typesafe-ai/jev,mid,8,csv,v1,1,240,240,0.6486486486486487,,0.7777777777777778,0.5833333333333334,0.0,7011.6625,77.20833333333333,294.489825,560.5943598667485,192.95416666666668,,
llm:chatgpt,gpt-5.6-luna,mid,0,csv,v1,1,240,240,0.46530612244897956,,0.5,0.4375,0.0,646.5625,25.141666666666666,159.48250000000002,1992.8701303792575,,,
llm:chatgpt,gpt-5.6-luna,mid,8,csv,v1,1,240,240,0.6886792452830188,,0.6527777777777778,0.5416666666666666,0.0,5283.5625,25.191666666666666,236.95850000000002,2062.391879999874,,,
